Target_genes	Sirt6|Average	SRX873340|ES_cells	SRX873342|ES_cells	SRX873343|ES_cells	STRING
Tcstv3	836.000000	736	823	949	0
Olfr806	725.000000	201	999	975	0
Abhd6	700.000000	278	912	910	0
Wwox	594.666667	109	856	819	0
Tent5c	421.000000	0	649	614	0
Cldn34d	412.666667	224	443	571	0
Esr1	405.666667	0	669	548	0
Aadacl2fm1	273.000000	0	0	819	0
Sbno2	244.000000	0	455	277	0
Gcgr	236.333333	0	360	349	0
Scn8a	231.000000	147	309	237	0
Vmn2r102	228.333333	0	327	358	0
Brox	207.333333	0	279	343	0
Aida	207.333333	0	279	343	0
Asmt	196.666667	0	275	315	0
Sfi1	129.666667	389	0	0	0
Dnajc3	120.333333	361	0	0	0
Rap2a	119.333333	358	0	0	0
Tdrd3	113.000000	339	0	0	0
Stk24	109.000000	327	0	0	0
Tmem192	108.000000	324	0	0	0
Zfp1	103.666667	311	0	0	0
Abcc4	103.666667	311	0	0	0
Diaph3	94.333333	283	0	0	0
Pdia5	91.666667	275	0	0	0
Gm3448	90.333333	271	0	0	0
Gm3417	90.333333	271	0	0	0
9030025P20Rik	90.333333	271	0	0	0
Gspt1	87.333333	262	0	0	0
Spryd7	86.666667	260	0	0	0
Uchl3	85.666667	257	0	0	0
Psmd11	85.666667	257	0	0	0
Wdfy2	85.000000	255	0	0	0
Icmt	83.333333	250	0	0	0
Cdt1	82.333333	247	0	0	0
Samd8	81.333333	244	0	0	0
Dusp13	81.333333	244	0	0	0
Prdx6	81.000000	243	0	0	0
Ube2g1	80.333333	241	0	0	0
Siva1	80.333333	241	0	0	0
Klhl24	80.333333	241	0	0	0
Atg16l1	78.000000	234	0	0	0
Scrn3	77.666667	233	0	0	0
Cir1	77.666667	233	0	0	0
Cd163l1	77.666667	0	233	0	0
Srp9	77.333333	232	0	0	0
Atp13a1	77.333333	232	0	0	0
Utp14b	76.333333	229	0	0	0
Rbm34	76.333333	229	0	0	0
Acsl3	76.333333	229	0	0	0
Cnot1	76.000000	228	0	0	0
Naf1	75.666667	227	0	0	0
Dnajb12	75.666667	227	0	0	0
Eif3b	75.000000	225	0	0	0
Tpm3	74.333333	223	0	0	0
Timm13	74.000000	222	0	0	0
Rbm38	74.000000	222	0	0	0
Mmp15	73.666667	221	0	0	0
Fbxw9	73.666667	221	0	0	0
Mto1	73.000000	219	0	0	0
Mrm1	73.000000	219	0	0	0
Cgas	73.000000	219	0	0	0
Hjurp	72.666667	218	0	0	0
A730008H23Rik	72.666667	218	0	0	0
Mxi1	72.333333	217	0	0	0
Idh2	72.333333	217	0	0	0
Atg4d	72.333333	217	0	0	0
Marchf11	72.000000	216	0	0	0
Zfp869	71.666667	215	0	0	0
Uqcrfs1	71.666667	215	0	0	0
Noc4l	71.666667	215	0	0	0
Mak16	71.666667	215	0	0	0
Llph	71.666667	215	0	0	0
Ddx51	71.666667	215	0	0	0
Rab8a	71.333333	214	0	0	0
Fam98c	71.000000	213	0	0	0
Elmod2	71.000000	213	0	0	0
D8Ertd738e	71.000000	213	0	0	0
Pofut2	70.666667	212	0	0	0
Dgke	70.666667	212	0	0	0
Tmem115	70.333333	0	82	129	0
Heatr3	70.333333	211	0	0	0
Nr4a2	70.000000	210	0	0	0
Hgh1	70.000000	210	0	0	0
Gm51425	70.000000	210	0	0	0
Ipo5	69.666667	209	0	0	0
Ctsb	69.333333	208	0	0	0
Cln5	69.333333	208	0	0	0
Rtn3	68.666667	206	0	0	0
Mzt1	68.666667	206	0	0	0
Fpgs	68.666667	206	0	0	0
Bora	68.666667	206	0	0	0
Tmem125	68.333333	0	105	100	0
Spata33	68.333333	205	0	0	0
Mtmr10	68.333333	205	0	0	0
Ebpl	68.333333	205	0	0	0
Chmp1a	68.333333	205	0	0	0
Nup133	68.000000	204	0	0	0
Lipt2	68.000000	204	0	0	0
Cdkn2aip	68.000000	204	0	0	0
Slc7a6	67.666667	203	0	0	0
Ivns1abp	67.666667	203	0	0	0
Golph3	67.666667	203	0	0	0
Wbp11	67.000000	201	0	0	0
Gabarapl2	67.000000	201	0	0	0
Banp	67.000000	201	0	0	0
BC049715	67.000000	201	0	0	0
Nfatc2ip	66.666667	200	0	0	0
Ndufaf6	66.666667	200	0	0	0
Nudcd2	66.333333	0	0	199	0
Hmmr	66.333333	0	0	199	0
Stk38	65.333333	196	0	0	0
Matr3	65.333333	196	0	0	0
Lrch4	65.333333	0	196	0	0
Fbxo24	65.333333	0	196	0	0
Csnk2a1	65.333333	196	0	0	0
Prkcz	65.000000	195	0	0	0
Napa	65.000000	195	0	0	0
Plpbp	64.666667	194	0	0	0
Gm27021	64.666667	194	0	0	0
Emc8	64.666667	194	0	0	0
Cox4i1	64.666667	194	0	0	0
Ccdc102a	64.666667	194	0	0	0
Btbd10	64.666667	194	0	0	0
Cyld	64.333333	193	0	0	0
Cep78	64.333333	193	0	0	0
Adpgk	64.333333	193	0	0	0
2310039H08Rik	64.333333	193	0	0	0
Rpa2	64.000000	192	0	0	0
Rab40c	64.000000	192	0	0	0
Zbtb43	63.666667	191	0	0	0
Serp1	63.666667	191	0	0	0
Rpl19	63.666667	191	0	0	0
Eif2a	63.666667	191	0	0	0
Cacnb1	63.666667	191	0	0	0
Tcte3	63.333333	190	0	0	0
Sugp1	63.333333	190	0	0	0
Pprc1	63.333333	190	0	0	0
Mau2	63.333333	190	0	0	0
Gm3435	63.333333	190	0	0	0
Ttc39b	63.000000	189	0	0	0
Trap1	63.000000	189	0	0	0
Tmppe	63.000000	189	0	0	0
Rnaseh2c	63.000000	189	0	0	0
Pold1	63.000000	189	0	0	0
Nr1h2	63.000000	189	0	0	0
Necap1	63.000000	189	0	0	0
Klf7	63.000000	189	0	0	0
Hap1	63.000000	189	0	0	0
Brwd1	63.000000	189	0	0	0
Trim37	62.666667	188	0	0	0
Psmd7	62.666667	188	0	0	0
Uggt2	62.333333	187	0	0	0
Trir	62.333333	187	0	0	0
Tra2a	62.333333	187	0	0	0
Tmem38b	62.333333	187	0	0	0
Smim10l1	62.333333	187	0	0	0
Immt	62.333333	187	0	0	0
Get3	62.333333	187	0	0	0
Eef1e1	62.333333	187	0	0	0
Coq10b	62.333333	187	0	0	0
Rab11fip1	62.000000	186	0	0	0
Fmnl2	62.000000	186	0	0	0
Thada	61.666667	185	0	0	0
Ddx6	61.666667	185	0	0	0
Ddx42	61.666667	185	0	0	0
Ccdc47	61.666667	185	0	0	0
Snip1	61.333333	184	0	0	0
Frg1	61.333333	184	0	0	0
Dusp1	61.333333	184	0	0	0
Dnali1	61.333333	184	0	0	0
Cyp51	61.333333	184	0	0	0
Aprt	61.333333	184	0	0	0
Actr1b	61.333333	184	0	0	0
4933424G06Rik	61.333333	184	0	0	0
Slc26a2	61.000000	183	0	0	0
Scai	61.000000	183	0	0	0
Mycbp2	61.000000	183	0	0	0
Ddx39a	61.000000	183	0	0	0
Rpl29	60.666667	182	0	0	0
Pdxdc1	60.666667	182	0	0	0
Mpv17l	60.666667	182	0	0	0
Got2	60.666667	182	0	0	0
D10Wsu102e	60.666667	182	0	0	0
Clptm1	60.666667	182	0	0	0
Usp22	60.333333	181	0	0	0
Uqcc2	60.333333	181	0	0	0
Erlin2	60.333333	181	0	0	0
Zfp605	60.000000	180	0	0	0
Xpnpep1	60.000000	180	0	0	0
St3gal5	60.000000	180	0	0	0
Gtpbp6	60.000000	180	0	0	0
Gm5741	60.000000	180	0	0	0
Edc3	60.000000	180	0	0	0
Dhps	60.000000	180	0	0	0
Cfap20	60.000000	180	0	0	0
Tmem217	59.666667	179	0	0	0
Tgds	59.666667	179	0	0	0
Tbc1d22b	59.666667	179	0	0	0
Mettl2	59.666667	179	0	0	0
Gpr180	59.666667	179	0	0	0
2310057M21Rik	59.666667	179	0	0	0
Zfyve9	59.333333	178	0	0	0
Srbd1	59.333333	178	0	0	0
Sec61a2	59.333333	178	0	0	0
Pdcd2l	59.333333	178	0	0	0
Map1lc3b	59.333333	178	0	0	0
Brf1	59.333333	178	0	0	0
Fus	59.000000	177	0	0	0
Cdk10	59.000000	177	0	0	0
9430038I01Rik	59.000000	177	0	0	0
Tasp1	58.666667	176	0	0	0
Snx14	58.666667	176	0	0	0
Med26	58.666667	176	0	0	0
Hinfp	58.666667	176	0	0	0
Fam177a2	58.666667	176	0	0	0
Fam177a	58.666667	176	0	0	0
Ddx46	58.666667	176	0	0	0
Capn10	58.666667	176	0	0	0
Zc3h7a	58.333333	175	0	0	0
Ube2l3	58.333333	175	0	0	0
Il17rd	58.333333	175	0	0	0
Dynll2	58.333333	175	0	0	0
Ythdf1	58.000000	174	0	0	0
Wdr55	58.000000	174	0	0	0
Smtnl2	58.000000	174	0	0	0
Prkci	58.000000	174	0	0	0
Nek2	58.000000	174	0	0	0
Map3k2	58.000000	174	0	0	0
Farsa	58.000000	174	0	0	0
Dync1h1	58.000000	174	0	0	0
2310033P09Rik	58.000000	174	0	0	0
Zfp57	57.666667	173	0	0	0
Pgls	57.666667	173	0	0	0
Zfp871	57.333333	172	0	0	0
Zdhhc1	57.333333	172	0	0	0
Pbk	57.333333	172	0	0	0
Npm3	57.333333	172	0	0	0
Klhl36	57.333333	172	0	0	0
Kat2a	57.333333	172	0	0	0
Hspb9	57.333333	172	0	0	0
Gm7762	57.333333	172	0	0	0
Diaph1	57.333333	172	0	0	0
Ddx24	57.333333	172	0	0	0
Cpne3	57.333333	172	0	0	0
Commd6	57.333333	172	0	0	0
Aen	57.333333	172	0	0	0
Spata13	57.000000	171	0	0	0
Med9	57.000000	171	0	0	0
Ermard	57.000000	171	0	0	0
Sbf1	56.666667	170	0	0	0
Polr2c	56.666667	170	0	0	0
Mtpn	56.666667	170	0	0	0
Mcfd2	56.666667	170	0	0	0
Hspa4	56.666667	170	0	0	0
Farp1	56.666667	170	0	0	0
Dnajc19	56.666667	170	0	0	0
Clasp2	56.666667	170	0	0	0
Tpm4	56.333333	169	0	0	0
Tor1a	56.333333	169	0	0	0
Tbc1d4	56.333333	169	0	0	0
Rexo1	56.333333	169	0	0	0
Paip2	56.333333	169	0	0	0
Odf2	56.333333	169	0	0	0
Nob1	56.333333	169	0	0	0
Lrig2	56.333333	169	0	0	0
Fam161b	56.333333	169	0	0	0
Dhcr24	56.333333	169	0	0	0
Dexi	56.333333	169	0	0	0
Cul5	56.333333	169	0	0	0
Coq6	56.333333	169	0	0	0
Clk1	56.333333	169	0	0	0
Clec16a	56.333333	169	0	0	0
Chka	56.333333	169	0	0	0
Actn4	56.333333	169	0	0	0
Tbl1xr1	56.000000	168	0	0	0
Rpl11	56.000000	168	0	0	0
Net1	56.000000	168	0	0	0
Hexim2	56.000000	168	0	0	0
9130401M01Rik	56.000000	168	0	0	0
